term,even_xgf,playerId,name,position,teamId,even_xga,pp_xgf,pk_xga
8482713,0.0832704068423496,8482713.0,Mackie Samoskevich,R,13,-0.07640554810661382,0.09179863613468622,-0.08888059582874173
8484304,-0.040715971340933146,8484304.0,Uvis Balinskis,D,13,-0.08626678945759453,0.02892118508172669,0.06294978790939149
8473422,-0.05606605803456559,8473422.0,Nick Foligno,L,16,-0.01523635539758835,-0.033568785537162665,0.0787548963287266
8474013,0.03350271258285281,8474013.0,Ian Cole,D,59,0.030096060901258055,-0.1051734928637243,0.1682910220159473
8474034,-0.024060543947898326,8474034.0,Patrick Maroon,L,16,0.13057620510801893,-0.00759467742018459,-0.03313787424650526
8474166,-0.013881147401076306,8474166.0,Alec Martinez,D,16,0.12917551043368486,-0.038484520523681925,0.049840774519372556
8474673,-0.07619050383135259,8474673.0,TJ Brodie,D,16,0.02222817898081771,-0.031116342160150835,0.015582649999293928
8475225,0.032107946159349025,8475225.0,Craig Smith,C,16,0.1051721042771262,0.010623894960841561,-0.012349972544579051
8475791,0.08228761915346763,8475791.0,Taylor Hall,L,16,0.02331056742513867,0.030852270609126074,-0.049179326109134835
8476473,-0.05338535635092558,8476473.0,Connor Murphy,D,16,-0.05485301389214791,-0.10347291568194536,0.08167957219543952
8476882,-0.049398733423812645,8476882.0,Teuvo Teravainen,C,16,-0.06485116007808434,0.04920945511737818,-0.08890855574233449
8477021,0.05285430370257386,8477021.0,Alexander Kerfoot,C,59,-0.050213020592805045,-0.0802233599046623,0.14774702289119832
8477070,0.00497502115654883,8477070.0,Liam O'Brien,C,59,0.003371205983179,-0.0006211722263392278,0.00831153675921909
8477450,-0.21031393115481534,8477450.0,Jason Dickinson,C,16,-0.07244723054173494,-0.11497826141653004,0.09560552966437481
8477479,-0.11444565365272018,8477479.0,Tyler Bertuzzi,L,16,0.07304473292830445,0.10131273858451499,-0.1557744504018654
